,main_body_mid,main_body_uid,发布时间,处理内容,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,4541018303897663,5831176098,20年08月23日 10:19,你阅读能力不行吗，谁攻击人家学校了啊，无非就是说这样虐待动物的人不应该继续读研究生，这叫攻击？那么多虐待动物被大学退学的怎么那时候不见你们说攻击啊，阅读能力不行就回小学重读吧,4541029104227525,0,19,你阅读能力不行吗，谁攻击人家学校了啊，无非就是说这样虐待动物的人不应该继续读研究生，这叫攻击？那么多虐待动物被大学退学的怎么那时候不见你们说攻击啊，阅读能力不行就回小学重读吧,3977893566,皇恩,https://weibo.com/u/3977893566,,其他,f,98,99,455,291,0,464,755,
1,4541018303897663,5831176098,20年08月23日 10:45,没有攻击学校 只是说这个人品行不端 毕竟研究生录取考试也是要求思想品德吧 提醒学校取消录取,4541035574732989,0,3,没有攻击学校 只是说这个人品行不端 毕竟研究生录取考试也是要求思想品德吧 提醒学校取消录取,5955303538,Notworse-,https://weibo.com/u/5955303538,一个脾气暴躁的人。,江苏 南京,f,2872,814,372,"5,328",52,"12,831","18,211",
2,4541018303897663,5831176098,20年08月23日 09:36,"你好，你感兴趣的“福州大学”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; <a target=""_blank"" href=""https://weibo.com/p/10080878cfd6712973070dbb9882dae03763b9""><img class=""icon-link"" title=""#福州大学[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>福州大学超话</a>",4541018306781386,0,0,你好，你感兴趣的“福州大学”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入>> #福州大学[超话]#,5878659096,超话社区,https://weibo.com/u/5878659096,,北京,m,237743428,1720,27049,"2,912,007","5,990,621","57,353,772","66,256,400",超话社区官方微博
3,4541018303897663,5831176098,20年08月23日 11:45,麻烦你三观正一点！,4541050720623090,0,0,麻烦你三观正一点！,1871147734,哇咔咔卡卡卡小草莓呀,https://weibo.com/u/1871147734,…,其他,m,774,114,6026,"2,113","1,131",33,"3,277",
4,4541018303897663,5831176098,20年08月23日 11:44,谁攻击学校了？你有病吗？,4541050561235691,0,0,谁攻击学校了？你有病吗？,1871147734,哇咔咔卡卡卡小草莓呀,https://weibo.com/u/1871147734,…,其他,m,774,114,6026,"2,113","1,131",33,"3,277",
5,4541018303897663,5831176098,20年08月23日 11:44,？谁攻击学校了？？你没看网友都在说这个逼男的不配上这个学校吗 阅读能力不行 回去读小学去,4541050376425006,0,0,？谁攻击学校了？？你没看网友都在说这个逼男的不配上这个学校吗 阅读能力不行 回去读小学去,6094716623,蛋蛋记事本_,https://weibo.com/u/6094716623,随便记录点日常📝,山东,f,418,591,1097,"3,631",28,"5,458","9,117",
6,4541018303897663,5831176098,20年08月23日 09:52,"貌似最初艾特这个学校的目的只是想让学校取消施暴者的研究生资格，最后部分人太过于激愤矛头就指向了学校。学校也确实没做错什么，毕竟笔试面试并不能筛选出渣渣<img alt=""[并不简单]"" title=""[并不简单]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/aa/2018new_bingbujiandan_org.png"" />",4541022220852711,0,0,貌似最初艾特这个学校的目的只是想让学校取消施暴者的研究生资格，最后部分人太过于激愤矛头就指向了学校。学校也确实没做错什么，毕竟笔试面试并不能筛选出渣渣[并不简单],6597457748,卡卡西仙贝的小宝贝,https://weibo.com/u/6597457748,🙂🙂🙂,安徽,f,33,175,49,10,1,39,50,
7,4541018303897663,5831176098,20年08月23日 10:16,"为了给学校施压劝退那个人啊，不会这都不懂吧？嗷嗷，肖孝子啊，那没事了<img alt=""[笑哈哈]"" title=""[笑哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_org.gif"" />",4541028230506967,0,0,为了给学校施压劝退那个人啊，不会这都不懂吧？嗷嗷，肖孝子啊，那没事了[笑哈哈],7118221090,郭老师的脚趾,https://weibo.com/u/7118221090,😁,湖南,f,1,53,0,0,0,0,0,
