,main_body_mid,main_body_uid,发布时间,处理内容,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,4540889903142689,3845395264,20年08月23日 01:30,"我舍友就是福大桥隧的，我们专业十几个在福大土木<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />他们估计心态崩了",4540895900992727,2,0,我舍友就是福大桥隧的，我们专业十几个在福大土木[二哈]他们估计心态崩了,6067464879,没有感情的工具人鸭,https://weibo.com/u/6067464879,浑水摸鱼的研究僧,福建 三明,m,151,419,84,251,0,181,432,
1,4540889903142689,3845395264,20年08月24日 16:39,"哈哈哈哈哈我都不懂网友怎么人肉出来的 不知道是不是当事人说的 如果不是当事人说的还可能存在当事人不予追究了不给透露信息的情况 这样核实就很难办 一群人跑官博底下说学校还用核实 眼瞎 装死…我不懂怎么说<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",4541487050396470,1,0,哈哈哈哈哈我都不懂网友怎么人肉出来的 不知道是不是当事人说的 如果不是当事人说的还可能存在当事人不予追究了不给透露信息的情况 这样核实就很难办 一群人跑官博底下说学校还用核实 眼瞎 装死…我不懂怎么说[允悲],1935418155,秃头法律小学生阿凌酱,https://weibo.com/u/1935418155,日渐暴躁 只想赚钱,其他,f,1156,226,421,928,17,802,"1,747",
2,4540889903142689,3845395264,20年08月23日 01:15,"你好，你感兴趣的“福州大学”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; <a target=""_blank"" href=""https://weibo.com/p/10080878cfd6712973070dbb9882dae03763b9""><img class=""icon-link"" title=""#福州大学[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>福州大学超话</a>",4540892168327501,0,0,你好，你感兴趣的“福州大学”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入>> #福州大学[超话]#,5878659096,超话社区,https://weibo.com/u/5878659096,,北京,m,237743428,1720,27049,"2,912,007","5,990,621","57,353,772","66,256,400",超话社区官方微博
