,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5037543481411421,3219024913,24年05月24日 13:31,"受害者有罪论是吧<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />。这是受害者，胖猫姐姐是受害者么。你胖猫魔怔了吧<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />",来自安徽,5037548704891743,1,3,受害者有罪论是吧[微笑][赞]。这是受害者，胖猫姐姐是受害者么。你胖猫魔怔了吧[微笑],7644717951,Wysznnkwtzcm,https://weibo.com/u/7644717951,,其他,f,21,159,3,6,0,7,13,
1,5037543481411421,3219024913,24年05月24日 13:29,"回复<a href=/n/吃瓜ggggg usercard=""name=@吃瓜ggggg"">@吃瓜ggggg</a> 的表态:你咋看待呢",来自陕西,5037548313510446,0,0,回复@吃瓜ggggg 的表态:你咋看待呢,3219024913,烨磊新蕾,https://weibo.com/u/3219024913,,其他,m,177685,3665,70143,"213,014","155,763","473,640","842,417",微博原创视频博主 头条文章作者
2,5037543481411421,3219024913,24年05月24日 13:29,"回复<a href=/n/楠乔Cc usercard=""name=@楠乔Cc"">@楠乔Cc</a> 的表态:<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",来自陕西,5037548241946360,0,0,回复@楠乔Cc 的表态:[心][心][心][心],3219024913,烨磊新蕾,https://weibo.com/u/3219024913,,其他,m,177685,3665,70143,"213,014","155,763","473,640","842,417",微博原创视频博主 头条文章作者
