,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,4892621979519276,1639738197,23年04月23日 10:03,学姐，咱们新校区有雅思考点吗？我研0，想考一次试试,来自福建,4893628402763314,6,0,学姐，咱们新校区有雅思考点吗？我研0，想考一次试试,6790605751,WUFAI5,https://weibo.com/u/6790605751,,其他,m,3,71,6,0,0,1,1,
1,4892621979519276,1639738197,23年04月20日 19:15,"<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />有气质<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />",来自黑龙江,4892680163166953,0,0,[赞][赞][赞]有气质[哈哈][哈哈][哈哈],1240605473,吴运铠,https://weibo.com/u/1240605473,创客汇：专注于互联网创业早期发现平台，哈尔滨最前沿的创业基地。,北京 海淀区,m,50247,2162,30449,"19,969","13,537","17,029","50,535",社会化媒体研究人，前新浪微博黑龙江区域负责人。 超话粉丝大咖（龙江美食超话）
2,4892621979519276,1639738197,23年04月20日 15:28,"好好看好有气质啊你<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自福建,4892623024425556,1,0,好好看好有气质啊你[泪][泪][泪],1881558130,窈窈无期-,https://weibo.com/u/1881558130,爱迎万难，爱也赢万难,西藏 拉萨,f,168,128,587,923,5,"2,294","3,222",
