,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5081728399967442,7672547858,24年09月23日 11:25,买到了呀,来自湖南,5081728504825347,0,买到了呀,7672547858,我是一个神经病呀神呀么神经病,https://weibo.com/u/7672547858,谨言慎行,上海,m,18,218,660,211,6,462,679
1,5081728399967442,7672547858,24年10月11日 17:50,"回复<a href=/n/x小狗日记本 usercard=""name=@x小狗日记本"">@x小狗日记本</a>:可以可以。。。等我整理一下今晚给你",来自湖南,5088348211515070,0,回复@x小狗日记本:可以可以。。。等我整理一下今晚给你,7672547858,我是一个神经病呀神呀么神经病,https://weibo.com/u/7672547858,谨言慎行,上海,m,18,218,660,211,6,462,679
2,5081728399967442,7672547858,24年10月11日 17:45,"回复<a href=/n/我是一个神经病呀神呀么神经病 usercard=""name=@我是一个神经病呀神呀么神经病"">@我是一个神经病呀神呀么神经病</a>:可以给你买真题吗<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自福建,5088346994381770,0,回复@我是一个神经病呀神呀么神经病:可以给你买真题吗[泪],6006259996,x小狗日记本,https://weibo.com/u/6006259996,记录日常生活,福建,m,68,85,24,58,0,183,241
