,comments_level_1_mid,main_body_uid,发布时间,处理内容,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,4594629858831085,6426733747,21年01月18日 16:54,学硕,4594761802986506,0,学硕,6426733747,快乐女孩小loulou,https://weibo.com/u/6426733747,快快长胖 目标完美体重98斤,天津,f,125,370,179,403,0,403,806
1,4594629858831085,6426733747,21年01月18日 20:49,"回复<a href=/n/快乐女孩小loulou usercard=""name=@快乐女孩小loulou"">@快乐女孩小loulou</a>:私信我哦",4594821086059442,0,回复@快乐女孩小loulou:私信我哦,7550265605,福大经管考研酱,https://weibo.com/u/7550265605,想考福州大学经济与管理学院的同学可以看过来哟，福大经管考研酱为你答疑解惑。,福建,f,1597,36,118,293,17,229,539
2,4594629858831085,6426733747,21年01月18日 20:41,"回复<a href=/n/福大经管考研酱 usercard=""name=@福大经管考研酱"">@福大经管考研酱</a>:嗯？可以呀 怎么联系呢",4594819039242526,0,回复@福大经管考研酱:嗯？可以呀 怎么联系呢,6426733747,快乐女孩小loulou,https://weibo.com/u/6426733747,快快长胖 目标完美体重98斤,天津,f,125,370,179,403,0,403,806
3,4594629858831085,6426733747,21年01月18日 18:35,"回复<a href=/n/快乐女孩小loulou usercard=""name=@快乐女孩小loulou"">@快乐女孩小loulou</a>:可以免费分享给你<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />",4594787308537092,0,回复@快乐女孩小loulou:可以免费分享给你[太开心],7550265605,福大经管考研酱,https://weibo.com/u/7550265605,想考福州大学经济与管理学院的同学可以看过来哟，福大经管考研酱为你答疑解惑。,福建,f,1597,36,118,293,17,229,539
4,4594629858831085,6426733747,21年01月18日 18:35,"回复<a href=/n/快乐女孩小loulou usercard=""name=@快乐女孩小loulou"">@快乐女孩小loulou</a>:是想要复试真题吗？考研酱这里有哦",4594787263190865,0,回复@快乐女孩小loulou:是想要复试真题吗？考研酱这里有哦,7550265605,福大经管考研酱,https://weibo.com/u/7550265605,想考福州大学经济与管理学院的同学可以看过来哟，福大经管考研酱为你答疑解惑。,福建,f,1597,36,118,293,17,229,539
