,main_body_mid,main_body_uid,发布时间,处理内容,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,4587971745162531,2967166041,20年12月30日 23:12,"你好，你感兴趣的“福州大学考研”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; <a target=""_blank"" href=""https://weibo.com/p/100808f88096b160bbfdbc1f3865cd93ebdb33""><img class=""icon-link"" title=""#福州大学考研[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>福州大学考研超话</a>",4587971750141863,0,0,你好，你感兴趣的“福州大学考研”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入>> #福州大学考研[超话]#,5878659096,超话社区,https://weibo.com/u/5878659096,超话社区官方微博,,北京,m,237742259,1720,27051,"2,912,301","5,990,786","57,364,835","66,267,922"
1,4587971745162531,2967166041,21年05月06日 14:35,加一,4633864729788837,0,0,加一,2367278785,瑞秋姐姐,https://weibo.com/u/2367278785,,,福建 福州,f,2105,791,90,111,0,87,198
2,4587971745162531,2967166041,21年01月16日 16:37,我也是,4594032887734878,0,0,我也是,6554823631,C相信自己你可以的,https://weibo.com/u/6554823631,,把过程做好，结果就不会太差,其他,f,22,346,107,12,0,153,165
3,4587971745162531,2967166041,21年01月03日 17:14,19届非法本 第一名上岸 有偿提供复试咨询,4589331115935255,0,0,19届非法本 第一名上岸 有偿提供复试咨询,3129268932,形而上学丶丶,https://weibo.com/u/3129268932,,固执和偏见也是自己的一部分,其他,m,96,272,111,149,3,263,415
4,4587971745162531,2967166041,21年01月01日 01:11,同求,4588363908394851,0,0,同求,3925845287,晚上的晴朗,https://weibo.com/u/3925845287,,I,安徽 宿州,f,86,265,139,28,14,151,193
