,comments_level_1_mid,main_body_uid,发布时间,处理内容,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,4541002578141889,3181366211,20年08月23日 08:36,"嗯嗯  就是看到了小部分网友的一些言论  确实有一丢丢偏激了  <img alt=""[awsl]"" title=""[awsl]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/14/moren_awsl02_org.png"" />",4541003292216761,2,嗯嗯  就是看到了小部分网友的一些言论  确实有一丢丢偏激了  [awsl],3181366211,丫丫_AILah,https://weibo.com/u/3181366211,超话粉丝大咖（刘雨昕超话） 问答答主,💙🌧,福建,f,12068,1087,1326,"40,301","15,547","121,733","177,581"
1,4541002578141889,3181366211,20年08月23日 09:23,"回复<a href=/n/倒立看蜻蜓 usercard=""name=@倒立看蜻蜓"">@倒立看蜻蜓</a>:抛开学校而言  这种人虐待小动物真的值得千刀万剐不为过",4541014892615278,1,回复@倒立看蜻蜓:抛开学校而言  这种人虐待小动物真的值得千刀万剐不为过,3181366211,丫丫_AILah,https://weibo.com/u/3181366211,超话粉丝大咖（刘雨昕超话） 问答答主,💙🌧,福建,f,12068,1087,1326,"40,301","15,547","121,733","177,581"
2,4541002578141889,3181366211,20年08月23日 09:10,"回复<a href=/n/YuuuLum usercard=""name=@YuuuLum"">@YuuuLum</a>:还有小部分网友言论，说一只狗而已。这么骂太重了。更恶心，这是狗的问题么，这是虐待小动物，用严重暴力倾向的问题。这种人不提前处理，非等他杀人再处理么。",4541011856991971,0,回复@YuuuLum:还有小部分网友言论，说一只狗而已。这么骂太重了。更恶心，这是狗的问题么，这是虐待小动物，用严重暴力倾向的问题。这种人不提前处理，非等他杀人再处理么。,6913657288,倒立看蜻蜓,https://weibo.com/u/6913657288,,2019.01.01,其他,m,118,81,1640,"1,176",175,"7,915","9,266"
3,4541002578141889,3181366211,20年08月23日 08:52,"回复<a href=/n/Scj天天都要开心呀 usercard=""name=@Scj天天都要开心呀"">@Scj天天都要开心呀</a>:对  说实在的真有点无辜躺枪...  <img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /> 现在事情发展到这个地步  相信学校也会妥善处置的...",4541007125813205,1,回复@Scj天天都要开心呀:对  说实在的真有点无辜躺枪...  [二哈] 现在事情发展到这个地步  相信学校也会妥善处置的...,3181366211,丫丫_AILah,https://weibo.com/u/3181366211,超话粉丝大咖（刘雨昕超话） 问答答主,💙🌧,福建,f,12068,1087,1326,"40,301","15,547","121,733","177,581"
4,4541002578141889,3181366211,20年08月23日 08:46,"回复<a href=/n/YuuuLum usercard=""name=@YuuuLum"">@YuuuLum</a>:我看到了很多不明真相的网友都在说什么“福州大学是什么教的?”，这真的是因为一个人就打倒一个学校了<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />，太无语了",4541005610615155,1,回复@YuuuLum:我看到了很多不明真相的网友都在说什么“福州大学是什么教的?”，这真的是因为一个人就打倒一个学校了[二哈][二哈]，太无语了,6378889419,明天开始早睡ba,https://weibo.com/u/6378889419,,进一步是天堂，退一步是地狱,福建,m,56,135,127,182,1,228,411
