,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,4918004640651351,6029248458,23年06月30日 12:04,"数研院的喔，上个月就收集地址了<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自福建,4918301346496616,0,数研院的喔，上个月就收集地址了[doge],6029248458,Marathonpro,https://weibo.com/u/6029248458,211gis硕士在读 moxiaoshuai828,其他,f,50,118,7,20,0,11,31
1,4918004640651351,6029248458,23年07月04日 22:22,"回复<a href=/n/Marathonpro usercard=""name=@Marathonpro"">@Marathonpro</a>:哈哈见不到 我是社科的 我在铜盘",来自福建,4919906326023751,0,回复@Marathonpro:哈哈见不到 我是社科的 我在铜盘,7673156956,Mr·myself,https://weibo.com/u/7673156956,情绪反复无常 希望自己能够努力,其他,m,35,70,66,73,7,146,226
2,4918004640651351,6029248458,23年07月04日 17:57,"回复<a href=/n/Mr·myself usercard=""name=@Mr·myself"">@Mr·myself</a>:哈哈哈哈下个月见～",来自福建,4919839636066422,0,回复@Mr·myself:哈哈哈哈下个月见～,6029248458,Marathonpro,https://weibo.com/u/6029248458,211gis硕士在读 moxiaoshuai828,其他,f,50,118,7,20,0,11,31
3,4918004640651351,6029248458,23年06月30日 12:11,"回复<a href=/n/Marathonpro usercard=""name=@Marathonpro"">@Marathonpro</a>:我也拿到了<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自福建,4918302964979584,0,回复@Marathonpro:我也拿到了[doge],7673156956,Mr·myself,https://weibo.com/u/7673156956,情绪反复无常 希望自己能够努力,其他,m,35,70,66,73,7,146,226
