,comments_level_1_mid,main_body_uid,发布时间,处理内容,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5037266816730257,1897723622,24年05月23日 19:06,"一起学法律涨知识<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />",5037270818097194,0,一起学法律涨知识[送花花],1897723622,法治四川,https://weibo.com/u/1897723622,四川省司法厅官方微博,中共四川省委全面依法治省委员会办公室,四川,f,1600757,6891,138557,"1,595,617","4,322,917","5,817,408","11,735,942"
1,5037266816730257,1897723622,24年05月23日 18:59,"<img alt=""[话筒]"" title=""[话筒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/48/2018new_huatong_org.png"" /><img alt=""[话筒]"" title=""[话筒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/48/2018new_huatong_org.png"" /><img alt=""[话筒]"" title=""[话筒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/48/2018new_huatong_org.png"" />",5037268970508695,0,[话筒][话筒][话筒],5812511018,四川省荞窝监狱,https://weibo.com/u/5812511018,四川省荞窝监狱官方微博,,四川,m,1223,75,85470,349,310,371,"1,030"
2,5037266816730257,1897723622,24年05月23日 18:55,"<img alt=""[话筒]"" title=""[话筒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/48/2018new_huatong_org.png"" /><img alt=""[话筒]"" title=""[话筒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/48/2018new_huatong_org.png"" />",5037267968857400,0,[话筒][话筒],7093521544,四川省内江监狱,https://weibo.com/u/7093521544,四川省内江监狱官方微博,,其他,f,481,87,79253,348,370,784,"1,502"
