,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,4889293976243968,1639738197,23年04月11日 11:28,看从哪个门进叭。你从生活区走进来就没事，东门或者北门就不好说了,来自福建,4889301139329000,0,看从哪个门进叭。你从生活区走进来就没事，东门或者北门就不好说了,1639738197,如梦令Alice,https://weibo.com/u/1639738197,福州大学🇨🇳→CityU🇭🇰  第72届环球小姐中国区总决赛七十强  🍠🎶📺 bili:如梦令Alice,福建 福州,f,932,350,558,517,15,"1,259","1,791"
1,4889293976243968,1639738197,23年04月11日 11:55,好咧，谢谢…生活区那个门没有门禁嘛～？,来自福建,4889308094268567,0,好咧，谢谢…生活区那个门没有门禁嘛～？,2071643895,原来名字可以输入这么多个字,https://weibo.com/u/2071643895,对对对,北京,m,745,494,2017,"1,392",389,65,"1,846"
2,4889293976243968,1639738197,23年04月12日 16:01,"回复<a href=/n/孺梦令Alice usercard=""name=@孺梦令Alice"">@孺梦令Alice</a>:哈哈哈哈…明白明白了，是一项技术活！",来自福建,4889732225437844,0,回复@孺梦令Alice:哈哈哈哈…明白明白了，是一项技术活！,2071643895,原来名字可以输入这么多个字,https://weibo.com/u/2071643895,对对对,北京,m,745,494,2017,"1,392",389,65,"1,846"
3,4889293976243968,1639738197,23年04月11日 12:40,"回复<a href=/n/原来名字可以输入这么多个字 usercard=""name=@原来名字可以输入这么多个字"">@原来名字可以输入这么多个字</a>:有保安，但是他们主要看你来的方向，你要保证你在人流高峰期以面朝保安方向直线前进就没问题",来自福建,4889319246926554,0,回复@原来名字可以输入这么多个字:有保安，但是他们主要看你来的方向，你要保证你在人流高峰期以面朝保安方向直线前进就没问题,1639738197,如梦令Alice,https://weibo.com/u/1639738197,福州大学🇨🇳→CityU🇭🇰  第72届环球小姐中国区总决赛七十强  🍠🎶📺 bili:如梦令Alice,福建 福州,f,932,350,558,517,15,"1,259","1,791"
