,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5037314026245641,7051157562,24年05月24日 07:50,百度林北大学出来农林。。,来自福建,5037463057205988,0,百度林北大学出来农林。。,7350844046,塔仔不炸号,https://weibo.com/u/7350844046,一个普通的不普通人,其他,m,26,68,301,33,39,123,195
1,5037314026245641,7051157562,24年05月24日 00:57,"可能这桌的大佬们不让他上桌，其他桌找一下<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自福建,5037359059435772,0,可能这桌的大佬们不让他上桌，其他桌找一下[打call],3764656481,4ever黄,https://weibo.com/u/3764656481,,福建 南平,m,13,73,23,0,0,7,7
2,5037314026245641,7051157562,24年05月24日 13:43,"回复<a href=/n/4ever黄 usercard=""name=@4ever黄"">@4ever黄</a>:集美都能上，农林大学不行？<img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" />",来自福建,5037551698313906,1,回复@4ever黄:集美都能上，农林大学不行？[汗],2265398993,alibiroom,https://weibo.com/u/2265398993,掀了这桌麻将一起听听海浪,福建 福州,m,265,619,1,0,0,0,0
