,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5037255137167001,7799872068,24年05月23日 19:04,"太支持了，点了<img alt=""[鼓掌]"" title=""[鼓掌]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_guzhang_org.png"" />",来自广西,5037270324741888,1,太支持了，点了[鼓掌],7564350814,李林ya,https://weibo.com/u/7564350814,独自美丽,其他,f,1,387,182,3,0,46,49
1,5037255137167001,7799872068,24年05月23日 18:41,太支持了,来自福建,5037264346548779,3,太支持了,3602594344,泽陶-O-,https://weibo.com/u/3602594344,生活都是合理的，我们没必要相互理解,福建,f,165,1095,719,63,1,217,281
2,5037255137167001,7799872068,24年05月23日 18:23,很难不赞同,来自福建,5037259818011362,2,很难不赞同,5088587879,小羊如一,https://weibo.com/u/5088587879,“各人下雪 各人有各人的隐晦与皎洁”,福建,f,237,134,116,273,6,330,609
3,5037255137167001,7799872068,24年05月23日 19:46,"说的真好<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自吉林,5037280722944218,1,说的真好[打call][打call],3780062025,万象更新and四海升平,https://weibo.com/u/3780062025,愿祖国繁荣昌盛，河清海晏，人间皆安！,安徽,f,54,28,29,12,0,38,50
