,mid,uid,个人昵称,个人主页,发布时间,内容来自,展示内容,全部内容,转发数量,评论数量,点赞数量
78,5038935715090339,2370624892,瓜吃狸,https://weibo.com/2370624892,05月28日 21:18,养猪专业户iPhone客户端,真是有被感动到大家有看到福州大学流浪狗，帮助挖掘洞穴坍塌被压的流浪猫的视频吗大学生们好热血，看视频好感动。希望能用微薄的力量让更多人关注这件事，希望流浪狗、猫能有个好心人收养🙏#福州大学#​,None,1,4,33
79,5039081706226258,6528540882,琳渟渟,https://weibo.com/6528540882,05月28日 19:02,微博视频号,在流浪狗回回身上看见无数爱意的展现#汪汪队立大功#流浪狗回回#福州大学#小狗的爱是永远的比空白更空白的洁白的微博视频​,None,0,0,3
80,5039002523009768,7854939183,重庆社会与法,https://weibo.com/7854939183,05月28日 13:48,微博视频号,福州大学的流浪狗回回深夜深夜刨土一小时，和大学生一起救出流浪幼猫。#福州大学#流浪狗#重庆社会与法的微博视频​,None,0,0,0
81,5038791526188619,5840504664,茶卡盐佑星_k,https://weibo.com/5840504664,05月27日 23:49,iPhone客户端,#福州大学#能不能不要打小狗了​,None,0,0,0
82,5038745541938624,2667204325,括弧张烦烦括弧,https://weibo.com/2667204325,05月27日 20:46,iPhone客户端,福州大学的流浪小狗救流浪猫，看得姐眼泪汪汪#福州大学##小狗每天都会剩点饭给流浪猫吃##两只流浪小狗拼命追着它的幸福#​,None,0,0,0
83,5038450034082412,5640751865,张老师x_全国派单,https://weibo.com/5640751865,05月27日 01:12,iQOO Neo6 SE竞速标杆,#福州大学#福州5052102四年语文，孩子是男生，师大语文专业对口大二及以上的在校大学生，80/小时。周内晚上5.30-7.30，一周四次课，一次课两个小时，地址仓山区金桔路公园道一号福州5052502初二全科侧重理科辅导功课，成绩还可以，孩子是女生，女研究生，90/小时。周二到周五和周日晚上7.30-9.30，​展开,#福州大学#福州5052102四年语文，孩子是男生，师大语文专业对口大二及以上的在校大学生，80/小时。周内晚上5.30-7.30，一周四次课，一次课两个小时，地址仓山区金桔路公园道一号福州5052502初二全科侧重理科辅导功课，成绩还可以，孩子是女生，女研究生，90/小时。周二到周五和周日晚上7.30-9.30，一周五次课，一次课两个小时，地址仓山区世欧上江城,0,0,0
84,5038282976526924,7731676592,尼采的鱼,https://weibo.com/7731676592,05月26日 14:08,福州大学超话,福州大学超话欢迎各位报考本校快来加入大一新生🐧934722687，有热心学长学姐答疑解惑#福州大学#​,None,0,1,0
85,5038114185675657,1926566657,飞往你的山1105,https://weibo.com/1926566657,05月26日 02:58,iPhone客户端,#福州大学一男生猥亵女生#只有正确正义的处理方式才是真正维护自己的名声，为了所谓的影响不好、压着轻处是那位辅导员和学校一些管理人员不明智的处理方式。#福州大学#为勇敢的女生发声​,None,0,0,4
86,5037484148788356,5082570725,3000Zoey,https://weibo.com/5082570725,05月25日 18:02,iPhone客户端,#福州大学##福州大学一男生猥亵女生#穷不是他的免死金牌再说了94年的考了这么多年才考上大学不是他自己能力不够吗跟不容易有什么关系既然都考上大学了不珍惜学习时间跑去xsr女同学是什么个意思？？贵校辅导员和校领导也是拎不清的到底谁是受害者？？尊重客观事实很难吗？？做人民好教师很难吗？​展开,#福州大学##福州大学一男生猥亵女生#穷不是他的免死金牌再说了94年的考了这么多年才考上大学不是他自己能力不够吗跟不容易有什么关系既然都考上大学了不珍惜学习时间跑去xsr女同学是什么个意思？？贵校辅导员和校领导也是拎不清的到底谁是受害者？？尊重客观事实很难吗？？做人民好教师很难吗？？,0,3,61
87,5037950811504976,7710246512,xhoahwidhakge,https://weibo.com/7710246512,05月25日 16:08,iPhone客户端,#福州大学一男生猥亵女生##福州大学#​,None,0,1,4
88,5037872995894857,7506820093,左右灰影,https://weibo.com/7506820093,05月25日 10:59,iQOO Neo5S 双芯旗舰,#福州大学#顶一下​,None,0,1,0
89,5037860189113294,5626366926,北欧组Nasuka,https://weibo.com/5626366926,05月25日 10:08,iPhone客户端,#福州大学#辣鸡猥亵男，辣鸡辅导员，恶心🤢​,None,0,0,2
90,5037753882116169,7458734494,爆米花and淇淇,https://weibo.com/7458734494,05月25日 03:06,nova7你在焦点在,#福州大学#支持女孩子保护自己的合法权益​,None,0,0,1
